SampleN,SumTS,Li_S,Be_S,Na_S,Mg_S,K_S,Ca_S,Sc_S,Ti_S,V_S,Cr_S,Mn_S,Fe_S,Co_S,Ni_S,Cu_S,Zn_S,Ga_S,Ge_S,As_S,Rb_S,Sr_S,Y_S,Zr_S,Nb_S,Mo_S,Cd_S,Sn_S,Sb_S,Cs_S,Ba_S,La_S,Ce_S,Pr_S,Nd_S,Sm_S,Eu_S,Gd_S,Tb_S,Dy_S,Ho_S,Er_S,Yb_S,Hf_S,Pb_S,Th_S,AN,AP,AK,pH,EC,NH4_N,NO3_N,N.N,TN,OM,SoilType,Longitude,Latitude,ALT_extract,Landscape,DI,GDD0,GDD5,GP,MI,MTCO,MTWA,Tmax,Tmin
E1_1_1,1.07059443,40.4705,2.308,252.385,12013.0,7287.5,39198.5,7.539,1109.0,60.4405,45.794,860.0,38088.0,13.6405,35.1495,27.6755,90.2025,12.5145,4.0605,18.622,47.595,65.2525,14.5365,3.8175,3.061,0.8055,0.2135,2.129,1.33,6.2075,189.85,32.232,67.4025,7.563,28.5985,5.6025,1.0755,4.7605,0.775,3.305,0.7705,1.6515,1.3265,0.393,21.49,10.741,36.96,11.69,370.61,8.51,131.3,,,,,,Clay,107.436911,34.429406,741,Flat,0.407477975,4387.5,2949.199951,758.4000244,0.470562994,-1.299999952,24.39999962,40.16999817,-20.19000053
E1_1_3,5.86022787,59.5555,3.082,500.435,14264.5,10655.5,36762.5,11.849,1850.5,89.081,66.6025,1038.5,45395.0,15.744,40.896,28.151,109.576,17.015,5.5305,20.3715,71.6955,103.1495,18.651,15.3515,4.751,0.948,0.2035,2.994,0.997,7.991,258.8785,36.5765,77.359,8.5165,32.239,6.2755,1.198,5.3205,0.858,3.7895,0.8675,1.9375,1.5785,0.661,22.374,12.7955,49.28,24.52,323.99,8.4,140.5,,,,,,Clay,107.436911,34.429406,741,Flat,0.407477975,4387.5,2949.199951,758.4000244,0.470562994,-1.299999952,24.39999962,40.16999817,-20.19000053
E1_1_4,5.03214112,50.401,2.161,387.956,12706.0,8401.0,33011.5,10.7455,1266.5,81.02,60.6685,965.5,40054.0,15.6955,40.326,28.82,90.9055,17.049,5.571,20.867,70.561,96.112,19.0245,12.194,4.8485,1.042,0.3,3.316,0.666,8.5325,260.308,38.2655,78.209,8.9615,34.306,6.713,1.236,5.6775,0.743,3.976,0.7045,1.8915,1.5815,0.2715,24.551,13.882,56.98,30.44,335.11,8.47,137.7,,,,,,Clay,107.436911,34.429406,741,Flat,0.407477975,4387.5,2949.199951,758.4000244,0.470562994,-1.299999952,24.39999962,40.16999817,-20.19000053
E1_1_5,2.30807107,57.5605,2.9715,510.0195,11319.5,10289.5,31621.0,11.79,1426.0,89.1195,66.1505,809.5,35388.0,14.9565,39.1605,30.065,104.6935,16.5395,5.161,19.5705,74.506,86.9015,17.1075,15.567,4.5355,0.954,0.2425,3.3235,1.07,7.94,260.43,35.1815,74.292,8.1225,30.594,5.9805,1.1655,5.066,0.8265,3.6115,0.8355,1.858,1.518,0.683,22.2325,12.203,60.06,29.45,303.62,8.34,135.9,,,,,,Clay,107.436911,34.429406,741,Flat,0.407477975,4387.5,2949.199951,758.4000244,0.470562994,-1.299999952,24.39999962,40.16999817,-20.19000053
E1_1_6,2.02384006,53.221,2.111,408.4565,12686.5,8072.5,30207.0,11.085,1295.0,85.4605,63.2245,968.0,40210.0,16.176,42.052,28.8915,93.3515,17.6015,5.9295,21.791,71.64,102.637,19.0995,12.056,4.792,0.9995,0.3,3.178,0.66,8.4695,256.6775,38.0075,76.0165,8.741,33.3055,6.504,1.2075,5.4695,0.7085,3.7935,0.6705,1.801,1.501,0.2525,23.722,12.776,27.72,23.23,330.19,8.33,136.1,,,,,,Clay,107.436911,34.429406,741,Flat,0.407477975,4387.5,2949.199951,758.4000244,0.470562994,-1.299999952,24.39999962,40.16999817,-20.19000053
E1_1_7,10.2252121,59.2875,2.9385,463.554,11404.5,7741.0,31051.0,10.9305,1510.5,80.986,62.4175,828.5,36923.5,15.362,40.0005,28.1005,138.612,15.734,5.3825,19.9655,62.208,88.786,16.855,11.182,4.142,0.8795,0.1955,2.6625,1.015,7.16,221.513,32.2855,69.038,7.6435,28.7375,5.6135,1.091,4.8045,0.7865,3.355,0.7895,1.7075,1.3835,0.5355,20.521,10.698,30.8,33.89,411.9,8.4,135.4,,,,,,Clay,107.436911,34.429406,741,Flat,0.407477975,4387.5,2949.199951,758.4000244,0.470562994,-1.299999952,24.39999962,40.16999817,-20.19000053
E1_1_8,3.69559448,55.421,2.8555,474.848,12853.5,10399.0,34166.0,11.0895,1587.0,83.1835,62.631,905.0,40076.0,14.3355,37.835,26.599,103.733,15.797,5.051,19.06,69.083,98.1465,16.806,14.16,4.0945,0.9235,0.179,2.7655,0.9335,7.506,246.65,33.409,71.296,7.85,29.694,5.764,1.1215,4.917,0.803,3.493,0.8145,1.7935,1.4495,0.6425,20.6535,11.405,38.5,38.43,334.99,8.39,132.7,,,,,,Clay,107.436911,34.429406,741,Flat,0.407477975,4387.5,2949.199951,758.4000244,0.470562994,-1.299999952,24.39999962,40.16999817,-20.19000053
E1_1_9,3.13585735,60.7705,2.805,522.663,13603.0,10487.0,30624.0,11.873,1724.0,91.1175,65.8165,971.5,43109.5,16.1605,42.1665,26.987,104.947,17.2345,5.7355,20.666,71.0465,85.5425,18.059,14.5415,4.746,0.844,0.175,2.8795,1.0925,7.941,252.9785,35.829,76.395,8.364,31.5945,6.1385,1.183,5.1825,0.8365,3.6635,0.84,1.8655,1.5115,0.6275,20.976,11.6705,55.44,34.88,391.82,8.36,136.4,,,,,,Clay,107.436911,34.429406,741,Flat,0.407477975,4387.5,2949.199951,758.4000244,0.470562994,-1.299999952,24.39999962,40.16999817,-20.19000053
E1_1_10,1.68870064,49.425,2.0095,357.126,11860.0,7076.0,30372.0,10.0765,1155.5,76.3175,57.6895,904.0,37432.0,15.1415,39.3785,28.1335,90.8585,16.3365,5.3845,20.4945,65.276,90.2765,18.262,9.804,4.3495,0.9695,0.3075,3.101,0.8205,8.0655,243.911,36.586,75.43,8.629,32.794,6.4255,1.189,5.4095,0.7035,3.768,0.662,1.771,1.487,0.21,23.2305,12.7715,73.92,34.68,368.48,8.4,143.5,,,,,,Clay,107.436911,34.429406,741,Flat,0.407477975,4387.5,2949.199951,758.4000244,0.470562994,-1.299999952,24.39999962,40.16999817,-20.19000053
E1_1_11,2.03966979,52.485,2.8425,423.2395,11229.5,8494.0,26522.0,10.556,1393.5,81.1205,59.6965,807.0,35733.5,14.43,37.371,25.2725,95.166,15.9195,5.1955,19.439,67.2715,77.8565,16.475,11.7735,4.054,0.694,0.145,2.4655,0.9,7.443,234.0555,33.597,70.8465,7.8295,29.424,5.7215,1.0935,4.8355,0.793,3.404,0.7935,1.7215,1.388,0.561,19.5975,11.44,66.22,28.37,329.18,8.36,126.0,,,,,,Clay,107.436911,34.429406,741,Flat,0.407477975,4387.5,2949.199951,758.4000244,0.470562994,-1.299999952,24.39999962,40.16999817,-20.19000053
