SampleN,Li_S,Be_S,Na_S,Mg_S,K_S,Ca_S,Sc_S,Ti_S,V_S,Cr_S,Mn_S,Fe_S,Co_S,Ni_S,Cu_S,Zn_S,Ga_S,Ge_S,As_S,Rb_S,Sr_S,Y_S,Zr_S,Nb_S,Mo_S,Cd_S,Sn_S,Sb_S,Cs_S,Ba_S,La_S,Ce_S,Pr_S,Nd_S,Sm_S,Eu_S,Gd_S,Tb_S,Dy_S,Ho_S,Er_S,Yb_S,Hf_S,Pb_S,Th_S
A1_1_5,3.256671459,0.368974445,277.9203362,643.4366264,889.3820208,893.9115994,0.666163599,94.43142274,5.752392436,4.899917418,51.44587592,4723.435309,1.345628733,2.785994505,9.814316017,19.04116153,2.030251267,0.48831395,1.152607906,9.816489611,3.451048828,1.577869057,2.096759925,0.003106962,0.152124224,0.69428545,3.456331326,0.100886433,1.138911526,23.73998729,15.21979638,24.06614076,2.730398776,8.578833971,1.107600629,0.204132155,0.850454865,0.076698357,0.334899643,0.05415416,0.14376996,0.114289612,0.037382105,9.468018687,10.60393175
A1_1_6,4.207117757,0.291584442,193.2357613,834.557504,834.8562782,1000.670942,0.833247364,117.8195904,7.553073443,5.770936362,64.57306829,5703.190559,1.720476117,3.462462455,9.664362479,16.58076143,2.263547345,0.512493159,1.568754687,9.948900383,3.983011805,2.317001871,2.096630033,0.047108135,0.137034381,0.289723395,3.410863967,0.134290889,1.26927632,26.2479305,14.45965031,29.43850276,2.826961883,9.484526014,1.352039837,0.272772639,1.09193494,0.1099911,0.5173431,0.084793842,0.225697558,0.179170375,0.031454504,8.332106035,15.70977928
A1_1_7,4.244250073,0.264469505,187.2065307,901.0270465,896.6154317,1068.393255,0.963081195,135.9302915,8.828873335,7.138182453,63.38550099,6416.244907,1.899481197,4.377605781,10.43790548,19.92605508,2.408211482,0.52015565,1.826046078,10.31833924,3.798482477,2.053829066,0.865120073,0.094031127,0.16459463,3.872319661,4.111149599,0.141319169,1.318829452,28.00488977,13.31676631,28.31769979,2.545542515,8.406798047,1.18693813,0.206794768,0.955408443,0.092830843,0.450426828,0.077115793,0.203014563,0.16575254,0.009869331,10.77038714,11.22137568
A1_1_8,4.383214086,0.29986282,282.5339971,782.8913119,1007.252138,1180.242533,0.725426045,114.3003164,7.139984585,5.765378949,55.61626316,5607.499786,1.479005718,4.480906914,8.426232576,25.65585067,2.345750645,0.518948521,1.444662104,11.36304613,4.040257694,1.89589201,2.06830484,0.021869318,0.145818108,0.610159259,4.251917035,0.12293758,1.36907593,25.18329407,18.92600962,29.60787446,3.370701764,10.56550874,1.356278089,0.226705781,0.986430812,0.091413589,0.405600701,0.065177912,0.179293521,0.147968324,0.037990866,11.02118919,10.3586245
A1_1_9,3.265780446,0.338156233,285.5430539,700.2362602,925.0864456,1080.295083,0.678094644,87.06079721,5.957935177,5.017303306,47.66077255,5141.003078,1.21143497,2.958331705,6.297977252,18.03766957,2.286445365,0.476230002,1.148270267,10.07505535,3.937054228,1.59705766,3.620569992,0.003106962,0.154452634,0.880421061,4.479323244,0.127514731,1.151923627,24.62307276,16.98995205,28.30763258,2.918387673,9.202694928,1.153366542,0.206444693,0.867312314,0.075779214,0.329556334,0.054301979,0.14717628,0.120370312,0.081766578,10.99147704,16.26541397
A1_1_10,3.796276616,0.341446834,223.2615244,666.5210288,832.3988165,1151.447618,0.619858629,104.2282243,6.516024984,4.829580419,48.82571076,5287.969023,1.223691329,2.743297756,8.826129527,18.65410112,2.179827541,0.504060324,1.241907777,9.835779682,3.46036186,1.76697144,2.606731743,0.003106962,0.15945126,0.301574375,3.72654282,0.118185877,1.146152569,22.47799225,18.34229771,28.1601143,3.230030978,10.20656446,1.290665341,0.211698434,0.967941663,0.086359224,0.379375872,0.060926886,0.168487544,0.134053328,0.053448258,10.31080441,14.98501747
A1_1_11,3.743036565,0.333410938,196.1301031,794.9237864,898.9732674,1335.095718,0.764966653,115.474449,7.251451798,5.166099177,60.60778259,5970.217116,1.64636065,3.140509626,9.375585559,15.96045557,2.483193411,0.570058118,1.518160649,11.37837024,3.779345681,1.783334371,2.380875832,0.031803807,0.24361814,0.20051016,3.815447644,0.131907506,1.390041384,25.83649801,18.25853187,34.74980124,3.267925633,10.33370579,1.320311606,0.21152963,1.017769631,0.091683732,0.397527404,0.063313351,0.178222637,0.139204599,0.042857271,11.86758775,14.92492178
A1_1_12,6.090832094,0.510749058,226.0637564,1107.460213,1192.805005,1698.032874,1.239439926,177.0019397,10.41664973,8.426754407,62.67027851,8286.136823,1.721836446,4.923152751,7.865804338,19.90973953,3.219197581,0.717546958,1.930784198,15.49348856,5.39907355,2.219586093,4.015787583,0.086538091,0.195042395,0.505418035,4.961625511,0.160805018,2.040238056,35.42241106,18.49688547,36.64760876,3.41859528,10.98831308,1.488916534,0.250338947,1.125309158,0.105819169,0.484214955,0.079620844,0.220390373,0.170536042,0.106291221,13.81346522,12.02340149
A1_1_13,4.82572342,0.286828721,272.7481824,911.7414178,1047.447716,1770.460325,0.951168896,142.3085523,9.849488704,8.028125412,76.87020292,7049.992449,2.058944976,4.716534525,9.022582148,18.63908443,2.603335322,0.597039587,1.867866189,11.4975613,4.636062472,2.444617653,2.625696298,0.079318659,0.172643823,0.289433518,4.792433689,0.152687275,1.369946192,31.61054885,14.9012375,30.65039386,2.855062853,9.351800607,1.360358993,0.256563849,1.116163098,0.109837806,0.522079208,0.090729521,0.235500694,0.199061,0.063842443,11.61188452,31.53477885
A1_1_14,3.172514074,0.195239874,205.0036383,706.5720181,797.383678,1776.444266,0.724359639,109.6431341,7.249575246,5.894002493,60.44913477,5120.14252,1.61434694,3.499878541,8.553003156,19.67389531,1.818618467,0.394903082,1.360728879,8.456914215,3.812616779,1.833794547,1.226723757,0.009320887,0.108075274,0.324705153,3.840757272,0.116783967,0.938745146,25.651007,9.849993317,19.69645757,1.922664911,6.387214359,0.931803538,0.173852936,0.777989487,0.084619753,0.389397422,0.066564623,0.170969798,0.146864267,0.015844486,7.042029144,11.10385802
A1_1_15,4.48267848,0.239821611,260.5149047,777.5563599,993.918439,2126.541416,0.793390877,109.4934245,7.411500626,7.184877777,62.72355021,5634.342527,1.571009553,4.367334059,11.33385583,27.86843644,1.957802118,0.543640536,1.531338235,9.06600601,4.779588259,2.02984726,2.20262054,0.062629478,0.160406983,0.49893489,4.495233375,0.363904369,0.908913756,27.94862472,12.08409648,22.51448354,2.327140317,7.676766635,1.102813978,0.219192525,0.896548472,0.092395387,0.420237134,0.06922531,0.181877658,0.153199731,0.032701334,7.110404193,15.81175347
A1_2_5,13.25886422,0.832493219,230.4461011,4554.250561,3222.696433,29793.13072,3.92716905,542.9350753,29.82208527,23.48883146,475.0238085,21193.68539,7.938882175,17.96036256,33.93439738,41.62256268,5.311349019,1.484954981,7.028765705,25.54961507,30.05462498,9.102292833,2.72489676,1.006866001,0.307792683,0.667237523,5.022121549,0.458229613,2.736502143,95.03450244,19.43085682,39.22760824,4.520134721,16.87428312,3.285330554,0.601668708,2.956352345,0.367601812,1.881157201,0.324440668,0.867426382,0.700191451,0.047139618,13.7545843,19.66499472
A1_2_7,15.20051334,0.926853164,213.8445446,5140.892932,3534.653752,6401.230585,4.526212466,632.5525241,33.95568757,27.18967712,458.6222614,23323.04849,9.355412278,21.58283884,31.08543827,48.93268147,6.143488909,1.573660742,8.078541667,29.26265922,17.18949495,9.79228907,2.809688329,1.273079087,0.345383474,0.801260464,5.48697645,0.505813586,3.157347732,107.8344272,21.57505507,43.43806622,4.913358458,18.33000149,3.487739481,0.651342199,3.184443947,0.391540713,2.02773625,0.362108757,0.939048894,0.775801498,0.049503714,15.50716651,6.633375054
A1_2_8,16.20751262,0.963431098,229.9916694,5346.985694,3707.317443,5182.941561,4.815373608,638.995031,35.01727762,28.6197318,481.0036411,24296.21164,9.981686645,22.48428318,28.54190681,51.63992579,6.381734051,1.667853739,8.305392354,30.08112978,17.21854046,10.13401656,2.724224478,1.227856151,0.369155145,0.626332366,6.022428101,0.542982813,3.282764065,116.8427867,22.93263289,46.76173386,5.230027947,19.4612432,3.632218762,0.669300114,3.337258014,0.411970718,2.113241188,0.373658693,0.983329991,0.810097655,0.048521094,16.70252854,6.708935261
A1_2_9,13.59872469,0.781994913,169.2540226,4435.400208,3041.137191,4273.502492,3.971040756,532.5266027,29.51738756,23.27597922,387.1948079,20075.47966,8.033245969,18.45168174,24.01325151,52.3780435,5.324086347,1.433736933,7.16568962,24.91861343,13.93192296,8.667781799,1.916012959,0.975317733,0.297467827,0.889898056,4.904497197,0.444158794,2.720696436,94.34755227,19.39962077,39.43988108,4.419662462,16.23292066,3.084728915,0.571306046,2.792540375,0.348808911,1.8234299,0.319936212,0.841332844,0.70091348,0.027987959,18.39576212,11.91125526
A1_2_10,16.29452532,1.057775968,221.4047592,5299.495325,3421.702295,5063.860414,4.761281873,627.2185857,35.03063033,28.92955006,474.6601336,24201.09044,9.8480236,26.71209618,44.20698015,47.9940413,6.419860968,1.762959281,8.686334549,28.94295028,16.79894487,10.1624407,3.072545796,1.11507074,0.362235104,1.041668956,5.88139591,0.689834842,3.304871829,112.6452952,23.44980243,47.04964221,5.304813185,19.67486695,3.690945071,0.67568207,3.328489391,0.410630996,2.119580186,0.377849064,0.999656782,0.809744151,0.060750124,15.14663971,7.495256039
A1_2_11,15.70523039,0.788087814,195.6214859,5084.375267,3391.833128,5067.24107,4.432156821,594.4387738,33.53670845,26.65981356,445.8478417,22914.08302,9.219719839,21.19542176,26.27682217,63.32377998,6.182369039,1.663575606,8.010679157,28.47023091,16.63166812,9.556971341,2.391285022,1.159039598,0.350514121,1.764074116,5.506049852,0.474855381,3.159965566,107.7008987,24.04784193,48.29931139,5.308047191,19.48988948,3.570358686,0.658415211,3.24609972,0.400155434,2.027712118,0.361364336,0.950210162,0.760249868,0.03506191,28.13696747,10.3344036
A1_2_12,15.73958833,0.836095335,220.2909584,4965.085518,3335.690699,4817.311615,4.306574168,582.3811894,32.76000608,26.40943953,429.2774427,22349.56893,9.137118624,21.42546988,28.76666402,60.96389227,6.021796049,1.654338455,7.962843771,27.96852048,16.00609313,9.312608283,2.313449697,1.108876967,0.345177088,1.021753175,5.679899656,0.469916192,3.172267921,107.4386125,22.75216152,44.10805658,5.041260823,18.53776045,3.417204667,0.640807269,3.104263341,0.381442319,1.997158095,0.347916712,0.935987771,0.762440151,0.045102026,16.52217895,7.922629036
A1_2_13,15.76923835,0.943573483,212.541984,5142.38511,3420.091983,4565.38138,4.548493113,625.8667531,34.50609246,27.59692291,447.7289819,24408.46131,9.745144509,22.40184155,30.66221994,58.92281301,6.29151376,1.838073613,8.120397769,29.29364699,16.47777825,9.773466224,2.718685616,1.248833258,0.370191434,0.567843224,5.917558874,0.5484089,3.300769726,111.515828,26.5348407,48.71474493,5.800978204,20.89945123,3.77857441,0.682877025,3.342224562,0.408411429,2.095077171,0.3661542,0.963142592,0.783248736,0.048381526,16.84941757,7.790235397
A1_2_14,17.72509348,1.238683605,231.2221541,5915.932279,3831.999003,5409.317217,5.095416405,715.6703267,38.48722506,31.05753811,512.0962447,26717.49198,11.25162809,25.40337651,36.40569586,69.16422694,7.173788613,1.999002778,9.376471489,33.35929002,19.57619877,10.9379662,3.365557035,1.517110205,0.39666487,0.901913665,6.396647909,0.663784511,3.82669694,128.1725423,26.88753874,54.74169677,5.978970125,22.22445842,4.143007399,0.759019043,3.772053041,0.462123787,2.384451829,0.414968814,1.109203162,0.894793696,0.067353109,18.54047492,8.845559399
A1_2_15,15.95617376,1.041974718,170.361039,5228.834577,3285.456534,6508.847685,4.49568569,614.1206686,33.87980361,27.73213381,467.6404659,23505.84738,9.620919569,21.77568488,29.96660912,47.26663724,6.366073236,1.634219339,8.488855205,28.70178259,18.33637389,9.696271477,2.544577275,1.190075562,0.353593843,0.586853286,5.091186422,0.565703481,3.290991723,112.4040895,23.11514626,48.10198102,5.161215185,19.12232729,3.582049268,0.671488733,3.278528787,0.397668545,2.054573049,0.363553963,0.959693985,0.796609275,0.046783156,15.96343714,7.196890856
A1_3_3,12.36227095,0.770795709,317.2668776,3437.008986,3188.29516,5344.345806,2.901070514,570.8823638,25.05053686,24.9374125,306.3904705,17276.79617,6.711814761,21.59225357,130.1974819,157.1050834,5.010652074,1.203574021,4.353736689,25.05088186,20.58967079,7.353466684,0.77425287,1.515508981,0.640324665,1.956412179,4.56279295,0.389363392,2.046908214,87.3043392,18.69945711,38.85222576,3.990469942,14.14789511,2.556775026,0.502920019,2.333877945,0.305846622,1.521341608,0.290267581,0.725303651,0.63562041,0.0583212,33.16666523,6.828706783
